TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BOBR3;0,00;;0,00;0,00;0,00;35,04;12,14;3,57;0,00;3,86;1,62;;0,00;0,00;0,00;0,58;-15,94;5,78;-913,16;-0,36;1,36;1,62;-1,67;;;-0,93;0,15;0,00;293.717.764,18
BOBR4;2,39;;16,19;-2,58;0,93;35,04;12,14;3,57;4,76;3,86;1,62;;0,58;-3,27;-1,56;0,58;-15,94;5,78;-913,16;-0,36;1,36;1,62;-1,67;;161.334,09;-0,93;0,15;-0,11;293.717.764,18
BPAC11;93,57;1,30;26,59;3,27;0,34;-7,36;7,72;24,86;85,58;85,58;;;6,61;-6,25;-0,90;0,92;12,29;1,30;;0,11;0,89;0,05;2,49;41,61;504.313.948,94;28,63;3,52;-2,11;87.208.497.144,14
BPAC3;44,31;0,91;37,77;4,64;0,49;-7,36;7,72;24,86;121,58;85,58;;;9,39;-8,88;-1,28;0,92;12,29;1,30;;0,11;0,89;0,05;2,49;41,61;245.703,85;9,54;1,17;-3,00;87.208.497.144,14
BPAC5;24,45;1,65;20,84;2,56;0,27;-7,36;7,72;24,86;67,09;85,58;;;5,18;-4,90;-0,70;0,92;12,29;1,30;;0,11;0,89;0,05;2,49;41,61;235.845,61;9,54;1,17;-1,66;87.208.497.144,14
BPAN4;11,40;1,82;20,96;2,58;0,35;61,65;9,35;6,84;15,32;15,32;;;1,43;-1,77;-0,60;0,67;12,33;1,68;;0,14;0,86;0,25;5,89;35,43;79.390.624,48;4,41;0,54;3,86;13.737.639.779,40
BPAR3;182,07;9,28;7,19;1,17;0,16;80,40;31,54;15,44;3,52;3,52;;;1,11;1,37;-0,19;;16,25;2,28;;0,14;0,86;0,15;3,12;3,40;;155,92;25,33;-0,28;1.733.606.633,43
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-24,79;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
BRAP3;55,58;3,28;25,68;1,61;1,56;;;;23,89;25,07;-0,91;-0,06;;31,37;-1,70;2,76;6,27;6,09;6,11;0,97;0,03;0,00;;;2.645.167,91;34,51;2,16;-0,42;21.039.960.317,06
BRAP4;63,09;3,18;29,15;1,83;1,77;;;;27,12;25,07;-0,91;-0,06;;35,61;-1,93;2,76;6,27;6,09;6,11;0,97;0,03;0,00;;;184.812.060,79;34,51;2,16;-0,47;21.039.960.317,06
BRDT3;22,65;4,10;6,76;2,16;0,93;5,47;5,60;4,79;5,78;6,92;1,14;0,43;0,32;4,12;-1,76;1,92;31,99;13,79;17,54;0,43;0,57;2,88;-3,48;;244.789.363,12;10,48;3,35;0,09;26.387.250.000,00
BRFS3;25,62;;15,04;2,36;0,42;24,00;7,21;3,51;7,31;12,41;5,10;1,65;0,53;2,79;-0,78;1,48;15,70;2,79;8,34;0,18;0,82;0,79;4,16;-14,99;215.772.154,00;10,85;1,70;0,04;20.815.564.562,52
BRGE11;10,00;3,64;17,92;0,41;0,24;-301,47;181,11;160,27;15,86;-13,54;-33,83;-0,87;28,72;0,57;-0,61;3,39;2,27;1,35;1,68;0,60;0,40;0,01;-1,53;-7,25;21.500,24;24,56;0,56;-0,99;942.497.068,04
BRGE12;6,19;;11,09;0,25;0,15;-301,47;181,11;160,27;9,82;-13,54;-33,83;-0,87;17,78;0,35;-0,38;3,39;2,27;1,35;1,68;0,60;0,40;0,01;-1,53;-7,25;11.048,91;24,56;0,56;-0,61;942.497.068,04
BRGE3;9,61;;17,22;0,39;0,23;-301,47;181,11;160,27;15,24;-13,54;-33,83;-0,87;27,60;0,55;-0,59;3,39;2,27;1,35;1,68;0,60;0,40;0,01;-1,53;-7,25;11.297,85;24,56;0,56;-0,95;942.497.068,04
BRGE5;16,67;1,82;29,87;0,68;0,40;-301,47;181,11;160,27;26,43;-13,54;-33,83;-0,87;47,87;0,95;-1,02;3,39;2,27;1,35;1,68;0,60;0,40;0,01;-1,53;-7,25;4.933,72;24,56;0,56;-1,65;942.497.068,04
BRGE6;16,50;4,41;29,57;0,67;0,40;-301,47;181,11;160,27;26,16;-13,54;-33,83;-0,87;47,39;0,94;-1,01;3,39;2,27;1,35;1,68;0,60;0,40;0,01;-1,53;-7,25;2.415,50;24,56;0,56;-1,64;942.497.068,04
BRGE7;5,40;7,86;9,68;0,22;0,13;-301,47;181,11;160,27;8,56;-13,54;-33,83;-0,87;15,51;0,31;-0,33;3,39;2,27;1,35;1,68;0,60;0,40;0,01;-1,53;-7,25;;24,56;0,56;-0,54;942.497.068,04
BRGE8;8,60;3,52;15,41;0,35;0,21;-301,47;181,11;160,27;13,64;-13,54;-33,83;-0,87;24,70;0,49;-0,53;3,39;2,27;1,35;1,68;0,60;0,40;0,01;-1,53;-7,25;14.738,63;24,56;0,56;-0,85;942.497.068,04
BRIV3;9,48;0,05;11,21;0,54;0,05;12,85;13,75;10,14;8,27;7,87;;;1,14;0,36;-0,06;99,82;4,81;0,46;;0,09;0,91;0,04;-14,49;-2,44;35.766,68;17,61;0,85;1,27;799.547.313,07
BRIV4;8,33;6,95;9,85;0,47;0,04;12,85;13,75;10,14;7,26;7,87;;;1,00;0,32;-0,05;99,82;4,81;0,46;;0,09;0,91;0,04;-14,49;-2,44;19.881,06;17,61;0,85;1,12;799.547.313,07
BRKM3;34,00;;-4,05;-7,01;0,31;19,15;-0,12;-11,43;-377,03;-732,04;-339,73;;0,46;4,67;-0,52;1,20;-173,07;-7,77;-7,20;-0,04;1,04;0,68;4,54;;829.092,85;-4,85;-8,39;-0,03;28.204.279.524,36
BRKM5;37,18;;-4,43;-7,67;0,34;19,15;-0,12;-11,43;-412,29;-732,04;-339,73;;0,51;5,11;-0,57;1,20;-173,07;-7,77;-7,20;-0,04;1,04;0,68;4,54;;130.876.751,82;-4,85;-8,39;-0,03;28.204.279.524,36
BRKM6;21,29;;-2,54;-4,39;0,20;19,15;-0,12;-11,43;-236,09;-732,04;-339,73;;0,29;2,92;-0,33;1,20;-173,07;-7,77;-7,20;-0,04;1,04;0,68;4,54;;8.335,14;-4,85;-8,39;-0,02;28.204.279.524,36
BRML3;9,57;;-28,43;0,74;0,44;87,67;-29,88;-32,11;-30,56;-39,49;-8,93;0,22;9,13;6,02;-0,48;4,01;-2,61;-1,53;-2,77;0,59;0,41;0,05;-7,67;;156.536.365,61;12,88;-0,34;0,23;8.355.962.556,81
BRPR3;8,81;0,98;20,99;0,59;0,41;100,00;113,89;65,78;12,12;15,12;3,00;0,15;13,81;4,28;-0,47;3,57;2,83;1,94;2,54;0,68;0,32;0,03;-15,19;;22.295.855,24;14,81;0,42;-0,62;4.330.205.593,23
BRQB3;0,00;;0,00;0,00;0,00;32,79;13,39;8,23;0,00;-0,85;-0,85;-0,56;0,00;0,00;0,00;2,06;40,38;15,32;26,03;0,38;0,62;1,86;3,80;47,08;;0,79;0,32;0,00;0,00
BRSR3;13,95;4,57;7,84;0,68;0,06;63,68;11,43;8,84;6,07;5,69;;;0,69;1,43;-0,07;2,34;8,72;0,79;;0,09;0,91;0,09;-5,25;-6,77;171.288,15;20,40;1,78;-0,18;5.354.469.380,23
BRSR5;18,70;3,51;10,51;0,92;0,08;63,68;11,43;8,84;8,13;5,69;;;0,93;1,91;-0,09;2,34;8,72;0,79;;0,09;0,91;0,09;-5,25;-6,77;4.889,54;20,40;1,78;-0,25;5.354.469.380,23
BRSR6;12,23;5,21;6,88;0,60;0,05;63,68;11,43;8,84;5,32;5,69;;;0,61;1,25;-0,06;2,34;8,72;0,79;;0,09;0,91;0,09;-5,25;-6,77;32.683.770,27;20,40;1,78;-0,16;5.354.469.380,23
BSEV3;9,10;;-14,81;-9,17;0,69;20,68;14,14;-6,03;6,31;10,46;4,14;;0,89;-1,44;-1,18;0,46;-61,90;-4,66;22,54;-0,08;1,07;0,77;7,69;;2.010.136,55;-0,99;-0,61;0,77;9.285.907.776,60
BSLI3;51,21;4,82;41,35;27,42;0,75;75,23;26,67;18,74;29,06;27,22;;;7,75;-3,70;-0,93;0,49;66,32;1,81;;0,03;0,97;0,10;-2,43;29,66;139.356,84;1,87;1,24;5,32;17.413.602.265,00
BSLI4;37,00;7,34;29,88;19,81;0,54;75,23;26,67;18,74;20,99;27,22;;;5,60;-2,67;-0,67;0,49;66,32;1,81;;0,03;0,97;0,10;-2,43;29,66;136.462,11;1,87;1,24;3,84;17.413.602.265,00
BTOW3;62,39;;-165,80;3,68;1,55;28,42;1,78;-2,08;193,52;175,33;-18,18;-0,35;3,45;3,34;-5,12;2,96;-2,22;-0,93;0,82;0,42;0,58;0,45;2,35;;346.724.019,64;16,94;-0,38;4,91;34.943.750.691,18
BTTL3;9,05;;12,73;7,04;0,83;19,02;5,50;2,65;6,13;7,28;1,15;1,32;0,34;15,07;-1,54;1,14;55,29;6,52;27,57;0,12;0,88;2,46;-11,43;;13.340,55;1,29;0,71;-0,04;134.488.140,40
BTTL4;11.091,73;;15.604,41;8.628,01;1.017,15;19,02;5,50;2,65;7.511,37;7,28;1,15;1,32;412,99;18.464,14;-1.888,71;1,14;55,29;6,52;27,57;0,12;0,88;2,46;-11,43;;;1,29;0,71;-46,34;134.488.140,40
CALI3;98,18;;18,80;11,06;0,29;18,39;12,73;6,47;9,55;12,74;6,31;7,31;1,22;0,97;-0,58;2,56;58,84;1,56;8,37;0,03;0,97;0,24;-7,97;-33,18;;8,87;5,22;-0,17;24.582.197,20
CALI4;50,00;;9,58;5,63;0,15;18,39;12,73;6,47;4,86;12,74;6,31;7,31;0,62;0,49;-0,30;2,56;58,84;1,56;8,37;0,03;0,97;0,24;-7,97;-33,18;9.554,00;8,87;5,22;-0,09;24.582.197,20
CAMB3;4,60;;8,83;2,00;0,69;45,00;10,13;14,06;12,26;16,38;4,12;0,67;1,24;-39,25;-1,10;0,95;22,69;7,82;3,90;0,34;0,66;0,56;-11,36;;294.483,79;2,30;0,52;0,99;194.419.368,00
CAMB4;6,25;;12,00;2,72;0,94;45,00;10,13;14,06;16,66;16,38;4,12;0,67;1,69;-53,33;-1,49;0,95;22,69;7,82;3,90;0,34;0,66;0,56;-11,36;;;2,30;0,52;1,35;194.419.368,00
CAML3;10,77;5,04;8,98;1,77;0,83;23,45;8,68;6,27;6,48;8,31;1,83;0,50;0,56;2,74;-1,89;2,17;19,73;9,23;13,28;0,47;0,53;1,47;7,98;17,95;14.545.377,39;6,08;1,20;0,23;3.984.900.000,00
CARD3;16,83;1,89;15,04;2,41;1,30;29,72;15,51;10,24;9,93;10,63;0,70;0,17;1,54;32,14;-1,86;1,16;16,01;8,67;12,28;0,54;0,46;0,85;-0,29;19,73;2.871.063,36;6,99;1,12;0,20;703.494.000,00
CASH3;23,85;;153,03;74,79;45,32;26,36;26,36;19,77;114,76;113,96;-0,80;-0,52;30,25;91,34;-191,30;2,86;48,87;29,62;35,98;0,61;0,36;1,50;;;89.585.198,67;0,32;0,16;;3.015.427.050,00
CASN3;14,34;0,29;90,65;8,57;2,99;53,10;27,60;11,01;36,16;32,83;4,20;1,00;9,98;-806,75;-3,51;0,98;9,46;3,30;8,82;0,35;0,65;0,30;8,58;9,88;1.520,00;1,67;0,16;4,89;9.083.999.874,51
CASN4;8,37;0,54;52,91;5,00;1,75;53,10;27,60;11,01;21,11;32,83;4,20;1,00;5,83;-470,89;-2,05;0,98;9,46;3,30;8,82;0,35;0,65;0,30;8,58;9,88;;1,67;0,16;2,86;9.083.999.874,51
CATA3;103,61;;-2,13;0,12;0,06;17,94;-6,16;-5,09;-1,76;-4,90;-3,15;0,21;0,11;0,25;-0,12;2,22;-5,43;-3,00;-5,07;0,55;0,45;0,59;-4,76;;;897,16;-48,70;0,01;14.940.354,78
CATA4;0,00;;0,00;0,00;0,00;17,94;-6,16;-5,09;0,00;-4,90;-3,15;0,21;0,00;0,00;0,00;2,22;-5,43;-3,00;-5,07;0,55;0,45;0,59;-4,76;;;897,16;-48,70;0,00;14.940.354,78
CBEE3;16,11;2,47;54,87;0,75;0,23;12,79;5,04;0,79;8,56;21,04;12,48;1,09;0,43;10,74;-0,32;1,08;1,36;0,42;3,50;0,31;0,69;0,53;3,81;;9.416,61;21,55;0,29;-0,67;2.684.478.991,86
CCPR3;11,30;8,25;34,05;0,59;0,35;63,04;50,22;10,42;7,06;11,46;4,40;0,37;3,55;5,29;-0,39;2,57;1,72;1,03;4,79;0,60;0,40;0,10;4,82;19,63;6.122.385,27;19,26;0,33;0,63;1.724.882.228,50
CCRO3;12,60;3,82;133,23;3,21;0,76;34,64;20,58;1,93;12,51;19,24;6,73;1,73;2,57;50,51;-1,01;1,07;2,41;0,57;5,17;0,24;0,76;0,30;3,13;-35,76;151.899.115,67;3,93;0,09;-1,54;25.452.000.000,00
CCXC3;1,16;;-0,46;-0,04;0,20;;;;-0,74;-0,72;0,02;;;-0,04;;0,16;-8,10;-43,41;4,96;-5,36;6,37;0,00;;;;-31,35;-2,54;0,00;1.973.425,64
CEAB3;10,88;;-20,16;1,26;0,46;46,42;-4,02;-4,07;-20,42;-18,61;1,81;-0,11;0,82;2,64;-0,89;1,56;-6,27;-2,28;-6,56;0,36;0,64;0,56;;;21.136.329,48;8,61;-0,54;0,00;3.353.706.339,84
CEBR3;142,90;1,17;24,29;2,43;0,56;12,64;6,12;3,13;12,40;12,82;-0,30;-0,06;0,76;2,91;-3,74;1,29;9,99;2,30;8,65;0,23;0,71;0,74;6,64;;206.030,00;58,88;5,88;-0,44;2.178.564.648,60
CEBR5;159,30;2,46;27,08;2,71;0,62;12,64;6,12;3,13;13,83;12,82;-0,30;-0,06;0,85;3,25;-4,17;1,29;9,99;2,30;8,65;0,23;0,71;0,74;6,64;;139.507,84;58,88;5,88;-0,49;2.178.564.648,60
CEBR6;159,28;1,15;27,07;2,71;0,62;12,64;6,12;3,13;13,83;12,82;-0,30;-0,06;0,85;3,25;-4,17;1,29;9,99;2,30;8,65;0,23;0,71;0,74;6,64;;234.620,52;58,88;5,88;-0,49;2.178.564.648,60
CEDO3;10,20;;-1,74;0,80;0,15;15,82;-2,18;-9,98;-7,98;-22,48;-16,06;1,62;0,17;-2,01;-0,25;0,84;-46,11;-8,71;-3,52;0,19;0,78;0,87;3,73;;25.918,78;12,68;-5,85;0,01;82.123.891,52
CEDO4;5,57;;-0,95;0,44;0,08;15,82;-2,18;-9,98;-4,36;-22,48;-16,06;1,62;0,10;-1,10;-0,13;0,84;-46,11;-8,71;-3,52;0,19;0,78;0,87;3,73;;50.910,18;12,68;-5,85;0,00;82.123.891,52
CEEB3;41,00;2,37;8,82;1,76;0,51;22,62;16,05;10,80;5,93;11,18;4,05;1,20;0,95;16,06;-0,64;1,19;19,95;5,83;11,29;0,29;0,71;0,54;10,93;29,39;24.803,73;23,31;4,65;0,42;12.912.677.614,04
CEEB5;44,17;2,20;9,50;1,90;0,55;22,62;16,05;10,80;6,39;11,18;4,05;1,20;1,03;17,30;-0,69;1,19;19,95;5,83;11,29;0,29;0,71;0,54;10,93;29,39;7.117,00;23,31;4,65;0,46;12.912.677.614,04
CEEB6;60,68;1,76;13,05;2,60;0,76;22,62;16,05;10,80;8,78;11,18;4,05;1,20;1,41;23,77;-0,95;1,19;19,95;5,83;11,29;0,29;0,71;0,54;10,93;29,39;;23,31;4,65;0,63;12.912.677.614,04
CEED3;48,01;;-0,31;-0,09;0,12;-1,01;-16,70;-44,49;-0,81;-2,45;-1,63;;0,14;-0,11;-0,16;0,17;-28,67;-39,36;13,70;-1,37;2,37;0,88;3,53;;10.692,67;-548,09;-157,15;-0,01;468.379.283,32
CEED4;70,00;;-0,45;-0,13;0,18;-1,01;-16,70;-44,49;-1,19;-2,45;-1,63;;0,20;-0,15;-0,23;0,17;-28,67;-39,36;13,70;-1,37;2,37;0,88;3,53;;7.000,00;-548,09;-157,15;-0,01;468.379.283,32
CEGR3;65,95;0,15;43,55;14,50;4,90;29,25;18,21;10,97;26,22;27,41;1,18;0,66;4,78;-81,42;-6,55;0,81;33,31;11,25;19,93;0,34;0,66;1,03;5,62;3,05;131.673,44;4,55;1,51;0,37;17.123.108.425,40
CEPE3;127,13;1,59;43,71;5,57;0,83;15,77;7,78;3,16;17,76;25,08;8,86;2,78;1,38;85,45;-1,11;1,04;12,75;1,90;6,53;0,15;0,85;0,60;8,76;62,59;92.909,67;22,81;2,91;2,22;8.661.732.821,09
CEPE5;28,00;7,21;9,63;1,23;0,18;15,77;7,78;3,16;3,91;25,08;8,86;2,78;0,30;18,82;-0,24;1,04;12,75;1,90;6,53;0,15;0,85;0,60;8,76;62,59;10.106,22;22,81;2,91;0,49;8.661.732.821,09
CEPE6;45,00;4,93;15,47;1,97;0,29;15,77;7,78;3,16;6,29;25,08;8,86;2,78;0,49;30,25;-0,39;1,04;12,75;1,90;6,53;0,15;0,85;0,60;8,76;62,59;5.862,00;22,81;2,91;0,79;8.661.732.821,09
CESP3;32,00;7,11;6,06;1,45;0,72;37,95;42,39;90,17;12,90;13,22;1,37;0,15;5,47;153,52;-0,78;1,06;23,99;11,88;-7,30;0,50;0,50;0,13;-8,26;;360.047,33;22,00;5,28;0,12;9.635.129.581,36
CESP5;41,00;8,96;7,77;1,86;0,92;37,95;42,39;90,17;16,52;13,22;1,37;0,15;7,00;196,70;-1,00;1,06;23,99;11,88;-7,30;0,50;0,50;0,13;-8,26;;31.014,00;22,00;5,28;0,16;9.635.129.581,36
CESP6;28,13;8,09;5,33;1,28;0,63;37,95;42,39;90,17;11,34;13,22;1,37;0,15;4,81;134,96;-0,69;1,06;23,99;11,88;-7,30;0,50;0,50;0,13;-8,26;;79.274.056,94;22,00;5,28;0,11;9.635.129.581,36
CGAS3;143,81;5,91;16,56;32,30;1,80;33,80;24,09;13,83;9,51;12,23;2,71;9,21;2,29;30,96;-2,98;1,17;195,00;10,84;18,79;0,06;0,94;0,78;4,74;10,49;21.608,71;4,45;8,68;-1,05;19.057.785.616,47
CGAS5;154,99;6,03;17,85;34,81;1,93;33,80;24,09;13,83;10,25;12,23;2,71;9,21;2,47;33,36;-3,21;1,17;195,00;10,84;18,79;0,06;0,94;0,78;4,74;10,49;456.949,97;4,45;8,68;-1,13;19.057.785.616,47
CGRA3;31,40;4,05;4,64;1,01;0,77;53,96;24,81;31,06;5,81;4,65;-0,94;-0,16;1,44;3,02;-1,28;2,82;21,75;16,61;13,56;0,76;0,24;0,53;3,42;16,83;67.774,24;31,09;6,76;0,03;609.046.843,58
CGRA4;29,43;4,33;4,35;0,95;0,72;53,96;24,81;31,06;5,45;4,65;-0,94;-0,16;1,35;2,83;-1,20;2,82;21,75;16,61;13,56;0,76;0,24;0,53;3,42;16,83;474.034,48;31,09;6,76;0,03;609.046.843,58
CIEL3;3,67;1,68;-20,41;0,71;0,11;27,85;-1,29;-4,37;-69,01;-104,99;-35,98;0,37;0,89;1,16;-0,61;1,13;-3,47;-0,53;-2,02;0,15;0,85;0,12;0,11;;158.185.625,24;5,17;-0,18;0,16;9.970.711.273,87
CLSC3;58,90;4,03;4,38;1,14;0,21;13,59;7,69;5,86;3,33;4,54;1,17;0,40;0,26;5,25;-0,34;1,12;26,13;4,86;12,05;0,19;0,81;0,83;4,67;31,75;9.497,67;51,45;13,45;0,05;2.296.985.164,76
CLSC4;59,99;4,36;4,46;1,17;0,22;13,59;7,69;5,86;3,39;4,54;1,17;0,40;0,26;5,34;-0,34;1,12;26,13;4,86;12,05;0,19;0,81;0,83;4,67;31,75;265.371,85;51,45;13,45;0,05;2.296.985.164,76
CMIG3;15,43;3,98;11,55;1,35;0,44;23,11;16,08;8,20;5,89;7,91;2,76;0,64;0,95;3,68;-0,62;1,70;11,73;3,81;10,48;0,32;0,68;0,46;5,38;-0,06;13.829.321,24;11,39;1,34;-0,26;20.471.881.459,27
CMIG4;12,50;4,91;9,36;1,10;0,36;23,11;16,08;8,20;4,77;7,91;2,76;0,64;0,77;2,98;-0,50;1,70;11,73;3,81;10,48;0,32;0,68;0,46;5,38;-0,06;127.999.830,61;11,39;1,34;-0,21;20.471.881.459,27
CMIN3;8,53;;11,83;4,50;2,43;60,26;45,70;29,23;7,57;7,31;-0,26;-0,16;3,46;23,86;-3,66;1,43;38,02;20,54;38,09;0,54;0,46;0,70;;;81.358.265,91;1,90;0,72;1,18;47.693.329.557,14
CMSA3;0,00;;0,00;0,00;0,00;;;;0,00;0,38;0,38;-0,89;;0,00;0,00;141,75;-233,87;-232,40;-237,47;0,99;0,01;0,00;;;;0,00;0,00;0,00;0,00
CMSA4;0,00;;0,00;0,00;0,00;;;;0,00;0,38;0,38;-0,89;;0,00;0,00;141,75;-233,87;-232,40;-237,47;0,99;0,01;0,00;;;;0,00;0,00;0,00;0,00
CNSY3;30,22;;-27,81;135,13;5,22;-7,98;-37,91;-48,05;-35,24;-39,58;-4,34;16,62;13,36;-20,45;-5,51;0,17;-485,95;-18,76;-22,50;0,04;0,96;0,39;19,24;;;0,22;-1,09;-0,01;935.885.083,86
CNTO3;24,75;;161,93;3,12;1,16;45,63;5,49;1,71;50,35;52,98;2,63;0,16;2,76;4,06;-2,27;2,42;1,92;0,72;2,88;0,37;0,63;0,42;;;40.693.413,15;7,94;0,15;-1,88;5.986.773.366,75
COCE3;51,24;4,14;15,04;1,23;0,43;12,67;6,70;4,52;10,14;13,39;5,67;0,69;0,68;-8,89;-0,57;0,84;8,21;2,83;5,07;0,34;0,66;0,63;7,29;-6,09;42.299,00;41,49;3,41;-0,44;3.034.024.821,42
COCE5;53,80;3,95;15,80;1,30;0,45;12,67;6,70;4,52;10,65;13,39;5,67;0,69;0,71;-9,33;-0,60;0,84;8,21;2,83;5,07;0,34;0,66;0,63;7,29;-6,09;1.448.353,12;41,49;3,41;-0,46;3.034.024.821,42
COCE6;19,17;11,08;5,63;0,46;0,16;12,67;6,70;4,52;3,79;13,39;5,67;0,69;0,25;-3,33;-0,22;0,84;8,21;2,83;5,07;0,34;0,66;0,63;7,29;-6,09;;41,49;3,41;-0,16;3.034.024.821,42
COGN3;4,16;;-3,99;0,45;0,22;59,44;-15,18;-31,59;-8,31;-15,93;-7,61;0,42;1,26;1,93;-0,28;1,94;-11,37;-5,42;-3,65;0,48;0,49;0,17;13,24;-24,68;205.546.544,27;9,16;-1,04;0,01;7.806.681.833,60
CORR3;2,71;;0,01;0,06;0,00;77,73;30,07;26,29;0,01;-2,46;-2,68;-14,13;0,00;0,00;-0,02;15,08;460,80;22,31;451,11;0,05;0,95;0,85;44,77;;;48,59;223,90;0,00;1.278.894,65
CORR4;82,00;;0,37;1,69;0,08;77,73;30,07;26,29;0,32;-2,46;-2,68;-14,13;0,10;0,11;-0,49;15,08;460,80;22,31;451,11;0,05;0,95;0,85;44,77;;;48,59;223,90;0,00;1.278.894,65
CPFE3;31,68;5,68;10,37;2,51;0,72;22,58;16,55;11,87;7,44;9,90;2,46;0,83;1,23;12,40;-1,05;1,23;24,22;6,95;11,08;0,29;0,71;0,59;11,46;25,40;86.977.540,30;12,61;3,06;0,24;36.503.420.659,20
CPLE3;6,65;4,24;4,66;0,90;0,39;28,37;22,83;20,95;4,28;5,96;1,58;0,33;0,98;10,38;-0,51;1,18;19,28;8,35;9,83;0,43;0,57;0,40;4,51;25,31;14.037.729,27;7,40;1,43;0,05;18.635.405.040,50
CPLE5;134,06;0,41;93,97;18,12;7,84;28,37;22,83;20,95;86,25;5,96;1,58;0,33;19,69;209,27;-10,37;1,18;19,28;8,35;9,83;0,43;0,57;0,40;4,51;25,31;6.052,00;7,40;1,43;0,98;18.635.405.040,50
CPLE6;6,99;4,44;4,90;0,94;0,41;28,37;22,83;20,95;4,50;5,96;1,58;0,33;1,03;10,91;-0,54;1,18;19,28;8,35;9,83;0,43;0,57;0,40;4,51;25,31;90.292.993,03;7,40;1,43;0,05;18.635.405.040,50
CPRE3;18,23;;19,05;1,89;0,86;49,98;35,17;28,88;15,64;17,64;2,00;0,24;5,50;-91,82;-0,99;0,94;9,91;4,50;5,66;0,45;0,54;0,16;9,10;;5.456,00;9,66;0,96;0,04;10.824.655.047,92
CRDE3;24,71;;-18,66;0,50;0,45;80,97;3,49;-48,06;256,87;180,15;-76,73;-0,15;8,97;2,77;-0,56;4,89;-2,67;-2,41;-0,28;0,90;0,10;0,05;11,36;;47.740,95;49,69;-1,32;0,24;59.851.400,63
CREM3;14,50;;32,70;2,45;0,67;30,30;7,39;2,10;9,28;13,11;3,84;1,01;0,69;4,89;-1,69;1,29;7,50;2,05;9,29;0,27;0,73;0,98;1,09;;;5,91;0,44;22,14;465.122.474,00
CRFB3;19,22;1,29;14,29;2,24;0,74;19,55;6,33;3,75;8,47;8,50;0,02;0,01;0,54;55,06;-1,44;1,03;15,67;5,15;15,00;0,33;0,67;1,37;11,38;23,62;80.303.525,27;8,59;1,35;0,09;38.155.525.741,00
CRIV3;5,25;;9,93;0,54;0,06;68,16;12,20;8,81;7,17;7,80;;;0,88;0,66;-0,07;2,55;5,41;0,58;;0,11;0,89;0,07;-7,18;6,86;43.976,61;9,77;0,53;-0,40;587.307.083,22
CRIV4;6,31;6,89;11,94;0,65;0,07;68,16;12,20;8,81;8,62;7,80;;;1,05;0,79;-0,08;2,55;5,41;0,58;;0,11;0,89;0,07;-7,18;6,86;24.556,00;9,77;0,53;-0,49;587.307.083,22
CRPG3;50,00;1,77;7,87;1,99;1,36;36,04;18,15;25,21;10,93;8,74;-2,96;-0,54;1,98;2,15;-6,28;5,27;25,34;17,34;10,61;0,68;0,32;0,69;15,93;;24.423,78;25,08;6,36;0,12;1.553.726.252,05
CRPG5;55,45;1,59;8,73;2,21;1,51;36,04;18,15;25,21;12,12;8,74;-2,96;-0,54;2,20;2,39;-6,96;5,27;25,34;17,34;10,61;0,68;0,32;0,69;15,93;;822.586,94;25,08;6,36;0,13;1.553.726.252,05
CRPG6;56,00;1,58;8,81;2,23;1,53;36,04;18,15;25,21;12,24;8,74;-2,96;-0,54;2,22;2,41;-7,03;5,27;25,34;17,34;10,61;0,68;0,32;0,69;15,93;;86.833,27;25,08;6,36;0,13;1.553.726.252,05
CSAB3;49,08;6,32;7,39;1,89;0,94;169,17;1.391,38;1.507,38;8,00;7,89;;;111,32;9,25;-1,15;2,24;25,66;12,70;;0,49;0,51;0,01;-41,88;2,02;7.379,50;25,90;6,65;0,04;371.481.600,00
CSAB4;47,66;7,16;7,17;1,84;0,91;169,17;1.391,38;1.507,38;7,77;7,89;;;108,10;8,98;-1,12;2,24;25,66;12,70;;0,49;0,51;0,01;-41,88;2,02;61.025,08;25,90;6,65;0,04;371.481.600,00
CSAN3;93,81;1,60;51,60;3,82;1,23;27,34;17,98;6,31;18,09;22,58;4,48;0,95;3,25;8,75;-1,81;1,78;7,40;2,38;8,04;0,32;0,68;0,38;10,10;0,61;338.365.081,18;24,56;1,82;-0,80;43.951.648.532,73
